Symbol,Name
IMO,Imperial Oil Ltd
CBOE,Cboe Global Markets Inc
PHYS,Sprott Physical Gold Trust USD
PSLV,Sprott Physical Silver Trust USD
EQX,Equinox Gold Corp
CEF,Sprott Physical Gold and Silver Trust USD
UEC,Uranium Energy Corp
BTG,B2Gold Corp
SEB,Seaboard Corp
SIM,Grupo Simec SAB de CV ADR
UUUU,Energy Fuels Inc
ORLA,Orla Mining Ltd
UTG,Reaves Utility Income Closed Fund
NG,NovaGold Resources Inc
DNN,Denison Mines Corp
PRK,Park National Corp
TGB,Taseko Mines Ltd
SVM,Silvercorp Metals Inc
NHC,National Healthcare Corp
CLM,Cornerstone Strategic Investment Fund，Inc.
IE,Ivanhoe Electric Inc
USAS,Americas Gold and Silver Corporation
SLSR,Solaris Resources Inc
CET,Central Securities Closed Fund
AZUL,Azul SA ADR
CNL,Collective Mining Ltd
VZLA,Vizsla Silver Corp
IAUX,I-80 Gold Corp
UMAC,Unusual Machines Inc
NAK,Northern Dynasty Minerals Ltd
ASM,Avino Silver & Gold Mines Ltd
TMP,Tompkins Financial Corp
CRF,Cornerstone Total Return Closed Fund
HYLN,Hyliion Holdings Corp
EVV,Eaton Vance Limited Duration Income Closed Fund
HSLV,Highlander Silver Corp
SLI,Standard Lithium Ltd
NEWP,New Pacific Metals Corp
TMQ,Trilogy Metals Inc
GROY,Gold Royalty Corp.
GGN,GAMCO Global Gold Natural Resources and Income Closed Fund
DC,Dakota Gold Corp
NFGC,New Found Gold Corp
REPX,Riley Exploration Permian Inc
OBE,Obsidian Energy Ltd
ISOU,Isoenergy Ltd
MTA,Metalla Royalty & Streaming Ltd
QNC,Quantum eMotion Corp
BITW,Bitwise 10 Crypto Index Units Beneficial Interest
THM,International Tower Hill Mines Ltd
URG,Ur-Energy Inc
WRN,Western Copper and Gold Corp
SPPP,Sprott Physical Platinum and Palladium Trust
CTGO,Contango Silver & Gold Inc
ELA,Envela Corp
IDR,Idaho Strategic Resources Inc
FAX,Abrdn Asia Pacific Income Closed End Fund
GMTL,Guardian Metal Resources PLC ADR
GAU,Galiano Gold Inc
BHB,Bar Harbor Bankshares
NML,Neuberger Energy Infra and Income Fund Inc.
ITRG,Integra Resources Corp
EIM,Eaton Vance Municipal Bond Closed Fund
CMCL,Caledonia Mining Corporation PLC
REA,Rare Earths Americas Inc
CATX,Perspective Therapeutics Inc
AEF,Abrdn Emerging Markets ex China Closed End Fund
RLGT,Radiant Logistics Inc
VKI,Invesco Advantage Municipal Inc Tr II
MPTI,M-Tron Industries Inc
EAD,Allspring Income Opportunities Mutual Fund
TRX,TRX Gold Corp
FJET,Starfighters Space Inc
VGZ,Vista Gold Corp
REI,Ring Energy Inc
ELLO,Ellomay Capital Ltd
LCTX,Lineage Cell Therapeutics Inc
LEGO.U,Legato Merger IV Units
LEGT.U,Legato Merger Units
LODE,Comstock Inc
GRAF,Graf Global Corp
LEGO,Legato Merger Corp IV
GRAF.U,Graf Global Units
NBH,Neuberger Municipal Fund Inc.
BKTI,BK Technologies Corp
CIX,CompX International Inc
ELMD,Electromed Inc
GTE,Gran Tierra Energy Inc
ARMP,Armata Pharmaceuticals Inc
BRBS,Blue Ridge Bankshares Inc
EGG,Enigmatig Ltd
SBMT,Silver Bow Mining Corp
GLO,Clough Global Opportunities Closed Fund
FLYX,Flyexclusive Inc
ERC,Allspring Multi-Sector Income Fund
LEGT,Legato Merger Corp III
DHY,Credit Suisse High Yield Credit Fund
GLDG,GoldMining Inc
FTF,Franklin Limited Duration Income Trust
TII,Titan Mining Corp
EVI,EVI Industries Inc
GORO,Gold Resource Corp
PLG,Platinum Group Metals Ltd
VENU,Venu Holding Corp
EXOD,Exodus Movement Inc
KULR,KULR Technology Group Inc
GENC,Gencor Industries Inc
INTT,inTest Corp
TGEN,Tecogen Inc
CMT,Core Molding Technologies Inc
NHS,Neuberger High Yield Strategies Fund Inc.
MINE,Mayfair Gold Corp
OZ,Belpointe PREP Units Class A
STXS,Stereotaxis Inc
SCOP,Sprott Physical Copper Units
ECF,Ellsworth Growth and Income Fund Ltd.
NRO,Neuberger Real Estate Secs Inc Fund Inc.
ENX,Eaton Vance New York Municipal Bond Closed Fund
INFU,InfuSystem Holdings Inc
ZONE,CleanCore Solutions Inc
STRW,Strawberry Fields Reit Inc
PED,PEDEVCO Corp
ESP,Espey MFG & Electronics Corp
NEN,New England Realty Associates LP DRC
PLX,Protalix Biotherapeutics Inc
ACU,Acme United Corp
GLQ,Clough Global Equity Closed Fund
MRT,Marti Technologies Inc
RYDE,Ryde Group Ltd
BCV,Bancroft Closed Fund
GRO,Brazil Potash Corp
EPM,Evolution Petroleum Corp
COE,51talk Online Education Group ADR
CITR,CitroTech Inc
NINE,Nine Energy Service Inc
LGCY,Legacy Education Inc
CIK,Credit Suisse Asset Management Income Closed Fund
UAC,United Acquisition I Corp
SMJF,SMJ International Holdings Inc
LUD,Luda Technology Group Ltd
PCG PR A,Pacific Gas and Electric 6% 1st Pref Shs
USBC,USBC Inc
SIF,SIFCO Industries Inc
VFL,Abrdn National Municipal Income Mutual Fund
AIB,Blockchain Digital Infrastructure Inc
TRT,Trio-Tech International
IAF,abrdn Australia Equity Mutual Fund
PZG,Paramount Gold Nevada Corp
GLU,Gabelli Global Utility and Income Closed Fund
BUDA,Buda Juice Inc
FURY,Fury Gold Mines Ltd
EP,Empire Petroleum Corp
UAC.U,United Acquisition I Units
ERH,Allspring Utilities And High Income Mutual Fund
WYY,WidePoint Corp
LPA,Logistic Properties of The Americas
PTHS,Pelthos Therapeutics Inc
NRXS,Neuraxis Inc
ESBA,Empire State Realty Operating Partnership Units Series ES
MCRP,Micropolis Holding Company
GPUS,Hyperscale Data Inc
FSI,Flexible Solutions International Inc
OSTX,OS Therapies Inc
CTM,Castellum Inc
OPTT,Ocean Power Technologies Inc
GLV,Clough Global Dividend and Income Fund
MAIA,Maia Biotechnology Inc
DIT,Amcon Distributing Co
XPL,Solitario Resources Corp
MHH,Mastech Digital Inc
IOR,Income Opportunity Realty Investors Inc
CEV,Eaton Vance California Municipal Income Closed Fund
WWR,Westwater Resources Inc
AREN,Arena Group Holdings Inc
UAVS,Ageagle Aerial Systems Inc
CVU,CPI Aerostructures Inc
SRXH,Srx Health Solutions Inc
OPHC,OptimumBank Holdings Inc
SLND,Southland Holdings Inc
NXB,Nextboat Inc
PHXE PR,Phoenix Energy One Cumulative Redeemable Prf Shs Series A
XTNT,Xtant Medical Holdings Inc
GGN PR B,GAMCO Global Gold Natural Resources and Income 5.00% Cumulative Pref Shs Series
SACH,Sachem Capital Corp
ROLR,High Roller Technologies Inc
DDC,DDC Enterprise Ltd
APT,Alpha Pro Tech Ltd
IBO,Impact Biomedical Inc
BDL,Flanigan's Enterprises Inc
FSP,Franklin Street Properties Corp
AGIG,Abundia Global Impact Group  Inc
NBY,NovaBay Pharmaceuticals Inc
VIDA,Vida Global Inc
BRIA,BrilliA Inc
SACH PR A,Sachem Capital 7 75 Cumulative Redeemable Pref Shs Series A
MGLD,Marygold Companies Inc
BCHT,Birchtech Corp
LGL,LGL Group Inc
INDO,Indonesia Energy Corp Ltd
