Code,Name,Market,Marcap
005930,삼성전자,KOSPI,2040351234192000
000660,SK하이닉스,KOSPI,1684115688495000
005935,삼성전자우,KOSPI,183743005487000
402340,SK스퀘어,KOSPI,165739732816000
005380,현대차,KOSPI,153568324500000
009150,삼성전기,KOSPI,149760860480000
373220,LG에너지솔루션,KOSPI,106470000000000
032830,삼성생명,KOSPI,82000000000000
028260,삼성물산,KOSPI,73786249355000
329180,HD현대중공업,KOSPI,71793477900000
012330,현대모비스,KOSPI,69047495663000
034020,두산에너빌리티,KOSPI,68475986507400
000270,기아,KOSPI,66331168360200
207940,삼성바이오로직스,KOSPI,63742639527000
066570,LG전자,KOSPI,61977604759000
012450,한화에어로스페이스,KOSPI,58679150338000
105560,KB금융,KOSPI,56710554205500
006400,삼성SDI,KOSPI,52541765560000
034730,SK,KOSPI,47634275871000
055550,신한지주,KOSPI,43952993828600
035420,NAVER,KOSPI,42591230184000
068270,셀트리온,KOSPI,42580852769700
010120,LS ELECTRIC,KOSPI,40050000000000
267260,HD현대일렉트릭,KOSPI,38426245910000
042660,한화오션,KOSPI,38271032910600
011070,LG이노텍,KOSPI,36210673710000
000150,두산,KOSPI,35675018505000
298040,효성중공업,KOSPI,35535852428000
006800,미래에셋증권,KOSPI,34077622992000
005490,POSCO홀딩스,KOSPI,32726750651000
086790,하나금융지주,KOSPI,31250486497200
010130,고려아연,KOSPI,28700332375000
009540,HD한국조선해양,KOSPI,28627725422000
018260,삼성에스디에스,KOSPI,28010763600000
042700,한미반도체,KOSPI,27926474600000
000810,삼성화재,KOSPI,26967073692000
307950,현대오토에버,KOSPI,25723695116000
051910,LG화학,KOSPI,25660316680500
003550,LG,KOSPI,25569938793000
015760,한국전력,KOSPI,24811911576050
010140,삼성중공업,KOSPI,24244000000000
017670,SK텔레콤,KOSPI,24099443946600
064350,현대로템,KOSPI,23247308409000
267250,HD현대,KOSPI,22197056885000
316140,우리금융지주,KOSPI,21581843808000
003670,포스코퓨처엠,KOSPI,20546576820000
247540,에코프로비엠,KOSDAQ GLOBAL,20250899838000
096770,SK이노베이션,KOSPI,19643933965600
196170,알테오젠,KOSDAQ GLOBAL,19612601538000
272210,한화시스템,KOSPI,19269777678000
033780,KT&G,KOSPI,19215315405600
035720,카카오,KOSPI,18860189217800
011200,HMM,KOSPI,18647814666900
138040,메리츠금융지주,KOSPI,17755545665300
086520,에코프로,KOSDAQ GLOBAL,17705210220800
086280,현대글로비스,KOSPI,17437500000000
079550,LIG디펜스앤에어로스페이스,KOSPI,17072000000000
024110,기업은행,KOSPI,15988388673450
278470,에이피알,KOSPI,15967373107500
047810,한국항공우주,KOSPI,15888442441000
000720,현대건설,KOSPI,15467315758500
277810,레인보우로보틱스,KOSDAQ,15306487962000
006260,LS,KOSPI,14539200000000
064400,LG씨엔에스,KOSPI,13922510727600
071050,한국금융지주,KOSPI,13708594032000
030200,KT,KOSPI,13407553642000
0126Z0,삼성에피스홀딩스,KOSPI,12006071142500
010950,S-Oil,KOSPI,11787418322400
259960,크래프톤,KOSPI,11511179753500
005940,NH투자증권,KOSPI,11117944312800
016360,삼성증권,KOSPI,11117850000000
047050,포스코인터내셔널,KOSPI,10836843740800
323410,카카오뱅크,KOSPI,10568217679550
443060,HD현대마린솔루션,KOSPI,10446196180000
005387,현대차2우B,KOSPI,10331841315000
007660,이수페타시스,KOSPI,10233245128600
039490,키움증권,KOSPI,9992988396000
047040,대우건설,KOSPI,9964510221500
028050,삼성E&A,KOSPI,9858800000000
003490,대한항공,KOSPI,9500093053800
001440,대한전선,KOSPI,9329247569600
352820,하이브,KOSPI,9310085784000
005830,DB손해보험,KOSPI,9235549209000
000880,한화,KOSPI,9088470759100
454910,두산로보틱스,KOSPI,8971085232000
353200,대덕전자,KOSPI,8786329265000
003230,삼양식품,KOSPI,8783495490000
036930,주성엔지니어링,KOSDAQ GLOBAL,8622247945500
161390,한국타이어앤테크놀로지,KOSPI,8510217240300
950160,코오롱티슈진,KOSDAQ,7939767885000
034220,LG디스플레이,KOSPI,7900000000000
000990,DB하이텍,KOSPI,7891732263200
000250,삼천당제약,KOSDAQ,7658864608000
062040,산일전기,KOSPI,7577422875000
180640,한진칼,KOSPI,7423965424800
058470,리노공업,KOSDAQ GLOBAL,7415413005000
028300,HLB,KOSDAQ,7392501376500
009830,한화솔루션,KOSPI,6978836961600
326030,SK바이오팜,KOSPI,6977710575000
032640,LG유플러스,KOSPI,6969103359440
267270,HD건설기계,KOSPI,6948675065000
128940,한미약품,KOSPI,6905124149000
005385,현대차우,KOSPI,6885583200000
078930,GS,KOSPI,6799950234000
000100,유한양행,KOSPI,6642609923400
010060,OCI홀딩스,KOSPI,6553251432000
090430,아모레퍼시픽,KOSPI,6510244076700
087010,펩트론,KOSDAQ,6493881975000
377300,카카오페이,KOSPI,6411147435000
021240,코웨이,KOSPI,6369068340000
036570,NC,KOSPI,6366258501000
241560,두산밥캣,KOSPI,6326500290000
066970,엘앤에프,KOSPI,6270600485000
298380,에이비엘바이오,KOSDAQ,6264997109700
000500,가온전선,KOSPI,6087866320000
011790,SKC,KOSPI,5926388637000
108490,로보티즈,KOSDAQ,5899453770000
022100,포스코DX,KOSPI,5883744012300
336260,두산퓨얼셀,KOSPI,5868237849600
440110,파두,KOSDAQ,5565757479700
039030,이오테크닉스,KOSDAQ GLOBAL,5543797500000
141080,리가켐바이오,KOSDAQ GLOBAL,5434450562400
018880,한온시스템,KOSPI,5357090521440
001040,CJ,KOSPI,5339390634000
029780,삼성카드,KOSPI,5312130152350
138930,BNK금융지주,KOSPI,5272456290670
004020,현대제철,KOSPI,5217730193500
088980,맥쿼리인프라,KOSPI,5181935964260
082740,한화엔진,KOSPI,5157033375600
052690,한전기술,KOSPI,5136768000000
271560,오리온,KOSPI,5048764056400
240810,원익IPS,KOSDAQ GLOBAL,5040916632700
004170,신세계,KOSPI,4873713396000
178320,서진시스템,KOSDAQ,4778744199700
002380,KCC,KOSPI,4760464384000
310210,보로노이,KOSDAQ,4600542750000
175330,JB금융지주,KOSPI,4536911374400
214370,케어젠,KOSDAQ,4512060000000
319400,현대무벡스,KOSDAQ,4455041560000
103590,일진전기,KOSPI,4444278348000
095340,ISC,KOSDAQ GLOBAL,4440783651000
450080,에코프로머티,KOSPI,4249406980700
023530,롯데쇼핑,KOSPI,4172591362500
088350,한화생명,KOSPI,4155916050000
403870,HPSP,KOSDAQ GLOBAL,3835180000000
051900,LG생활건강,KOSPI,3799878607000
222800,심텍,KOSDAQ GLOBAL,3753885886200
347850,디앤디파마텍,KOSDAQ,3640124615700
489790,한화비전,KOSPI,3574578012000
251270,넷마블,KOSPI,3514993095900
226950,올릭스,KOSDAQ,3507940742400
012510,더존비즈온,KOSPI,3497778348300
005850,에스엘,KOSPI,3446480184000
111770,영원무역,KOSPI,3403120742400
080220,제주반도체,KOSDAQ,3392619050500
020150,롯데에너지머티리얼즈,KOSPI,3367099270900
011170,롯데케미칼,KOSPI,3353592849600
004800,효성,KOSPI,3306230382500
011780,금호석유화학,KOSPI,3250326390000
035250,강원랜드,KOSPI,3206968095000
010170,대한광통신,KOSDAQ,3203004596000
036460,한국가스공사,KOSPI,3184798500000
302440,SK바이오사이언스,KOSPI,3161799085900
017800,현대엘리베이터,KOSPI,3100026130500
214450,파마리서치,KOSDAQ GLOBAL,3096115104000
097950,CJ제일제당,KOSPI,3063526851000
145020,휴젤,KOSDAQ GLOBAL,3057552200500
009420,한올바이오파마,KOSPI,3035181067800
131970,두산테스나,KOSDAQ GLOBAL,3032443642200
357780,솔브레인,KOSDAQ GLOBAL,2994747910000
031210,서울보증보험,KOSPI,2977891154700
014680,한솔케미칼,KOSPI,2961935797500
000155,두산우,KOSPI,2941396032000
001450,현대해상,KOSPI,2932539800000
204320,HL만도,KOSPI,2930124288000
214150,클래시스,KOSDAQ GLOBAL,2899725042550
007810,코리아써키트,KOSPI,2868321352000
084370,유진테크,KOSDAQ,2862213645800
064760,티씨케이,KOSDAQ GLOBAL,2845161372000
058610,에스피지,KOSDAQ,2836484344000
457190,이수스페셜티케미컬,KOSPI,2828486419200
263750,펄어비스,KOSDAQ GLOBAL,2801206478000
001720,신영증권,KOSPI,2798088000000
043260,성호전자,KOSDAQ,2797905367350
139130,iM금융지주,KOSPI,2793261498370
375500,DL이앤씨,KOSPI,2785940856000
005290,동진쎄미켐,KOSDAQ,2747289791400
028670,팬오션,KOSPI,2731650206320
383220,F&F,KOSPI,2731294447500
319660,피에스케이,KOSDAQ GLOBAL,2717077773200
237690,에스티팜,KOSDAQ GLOBAL,2701556221000
067310,하나마이크론,KOSDAQ,2671861885200
032820,우리기술,KOSDAQ,2666744590440
012750,에스원,KOSPI,2663742377800
483650,달바글로벌,KOSPI,2525005912500
004990,롯데지주,KOSPI,2506543966400
009970,영원무역홀딩스,KOSPI,2498708768700
006360,GS건설,KOSPI,2469025986500
007340,DN오토모티브,KOSPI,2463307416500
011210,현대위아,KOSPI,2447557470000
139480,이마트,KOSPI,2420153326300
069960,현대백화점,KOSPI,2417426635200
001740,SK네트웍스,KOSPI,2383055401320
071970,HD현대마린엔진,KOSPI,2367720351000
439260,대한조선,KOSPI,2361501260000
082920,비츠로셀,KOSDAQ,2357652804000
026960,동서,KOSPI,2352920000000
257720,실리콘투,KOSDAQ,2344351009000
100790,미래에셋벤처투자,KOSDAQ,2329515200900
218410,RFHIC,KOSDAQ,2326081519200
098460,고영,KOSDAQ,2323963456750
004370,농심,KOSPI,2323569244000
051600,한전KPS,KOSPI,2299500000000
000240,한국앤컴퍼니,KOSPI,2297432808000
279570,케이뱅크,KOSPI,2271892845600
008930,한미사이언스,KOSPI,2267179882500
003690,코리안리,KOSPI,2265563617420
031980,피에스케이홀딩스,KOSDAQ,2264051475000
083650,비에이치아이,KOSDAQ,2221806125000
0009K0,에임드바이오,KOSDAQ,2211753706200
078600,대주전자재료,KOSDAQ,2201096228400
131290,티에스이,KOSDAQ,2191269084900
00680K,미래에셋증권2우B,KOSPI,2188095000000
009155,삼성전기우,KOSPI,2186051968000
103140,풍산,KOSPI,2171881545000
229640,LS에코에너지,KOSPI,2165178945300
095610,테스,KOSDAQ,2154768000000
282330,BGF리테일,KOSPI,2151846297000
030530,원익홀딩스,KOSDAQ,2143353972750
066575,LG전자우,KOSPI,2137353595600
030000,제일기획,KOSPI,2131713899250
008770,호텔신라,KOSPI,2127248158200
120110,코오롱인더,KOSPI,2117184462400
018670,SK가스,KOSPI,2106023010000
068760,셀트리온제약,KOSDAQ,2100230303600
007070,GS리테일,KOSPI,2069283521250
085620,미래에셋생명,KOSPI,2034459000000
097230,HJ중공업,KOSPI,2022615705600
161890,한국콜마,KOSPI,2018234083500
035900,JYP Ent.,KOSDAQ GLOBAL,2007585798000
005440,현대지에프홀딩스,KOSPI,2006488353870
290650,엘앤씨바이오,KOSDAQ,1998455066400
081660,미스토홀딩스,KOSPI,1985634816000
112610,씨에스윈드,KOSPI,1971513090250
322000,HD현대에너지솔루션,KOSPI,1956640000000
192820,코스맥스,KOSPI,1952115548000
181710,NHN,KOSPI,1952087084400
140860,파크시스템스,KOSDAQ GLOBAL,1946686382000
001430,세아베스틸지주,KOSPI,1925795790300
000120,CJ대한통운,KOSPI,1925361833600
140410,메지온,KOSDAQ,1878235920600
041510,에스엠,KOSDAQ GLOBAL,1824706793000
089030,테크윙,KOSDAQ,1823039334000
060370,LS마린솔루션,KOSDAQ,1820524061900
007390,네이처셀,KOSDAQ,1759077028800
462870,시프트업,KOSPI,1715639445000
002790,아모레퍼시픽홀딩스,KOSPI,1712663232000
323280,태성,KOSDAQ,1704019284000
023590,다우기술,KOSPI,1701191361600
420770,기가비스,KOSDAQ,1701086723600
347700,스피어,KOSDAQ,1699738502250
017960,한국카본,KOSPI,1661399024900
005070,코스모신소재,KOSPI,1659067821450
437730,삼현,KOSDAQ,1648793484000
476830,알지노믹스,KOSDAQ,1641406587600
006280,녹십자,KOSPI,1609236282600
298020,효성티앤씨,KOSPI,1596914658000
096530,씨젠,KOSDAQ,1595504116700
077970,STX엔진,KOSPI,1567781860150
001800,오리온홀딩스,KOSPI,1556738736700
039200,오스코텍,KOSDAQ,1551369036800
001120,LX인터내셔널,KOSPI,1550400000000
395400,SK리츠,KOSPI,1547230566800
361610,SK아이이테크놀로지,KOSPI,1530236641000
006040,동원산업,KOSPI,1520651214550
003540,대신증권,KOSPI,1508585735950
127120,제이에스링크,KOSDAQ,1483511821100
445680,큐리옥스바이오시스템즈,KOSDAQ,1476039279000
069620,대웅제약,KOSPI,1473812340000
031330,에스에이엠티,KOSDAQ,1469927484900
